Simulations begin: 2025-02-03 01:34:38.612400
----- Starting simulation [systematic-constant] : 0 @ 2025-02-03 01:34:38.612481-----
Start coverage level: 0.6
Start exploration level: 0.764

systematic iteration: 77 | coverage level: 0.8666666666666667 | exploration_level: 0.8630531832339053

systematic iteration: 78 | coverage level: 0.8666666666666667 | exploration_level: 0.8619979951937059

systematic iteration: 79 | coverage level: 0.9 | exploration_level: 0.8621094187797241

systematic iteration: 80 | coverage level: 0.8666666666666667 | exploration_level: 0.860301043481197

systematic iteration: 81 | coverage level: 0.9 | exploration_level: 0.8591767319450498

systematic iteration: 82 | coverage level: 0.9 | exploration_level: 0.8574217413250382

systematic iteration: 83 | coverage level: 0.9 | exploration_level: 0.8567393462083944

systematic iteration: 84 | coverage level: 0.9 | exploration_level: 0.8554908110116599

systematic iteration: 85 | coverage level: 0.9 | exploration_level: 0.8541198996442012

systematic iteration: 86 | coverage level: 0.9 | exploration_level: 0.8537036080981383

systematic iteration: 87 | coverage level: 0.9 | exploration_level: 0.8519615066466842

systematic iteration: 88 | coverage level: 0.9 | exploration_level: 0.8512803453119735

systematic iteration: 89 | coverage level: 0.9 | exploration_level: 0.8506237200838108

systematic iteration: 90 | coverage level: 0.9 | exploration_level: 0.8497622785689646

systematic iteration: 91 | coverage level: 0.9 | exploration_level: 0.8478119181347018

systematic iteration: 92 | coverage level: 0.9 | exploration_level: 0.8468894287069078

systematic iteration: 93 | coverage level: 0.9 | exploration_level: 0.8459286208343234

systematic iteration: 94 | coverage level: 0.9 | exploration_level: 0.8444331716928501

systematic iteration: 95 | coverage level: 0.9 | exploration_level: 0.8438121653354798

systematic iteration: 96 | coverage level: 0.8666666666666667 | exploration_level: 0.8428698490679828

systematic iteration: 97 | coverage level: 0.8666666666666667 | exploration_level: 0.8426943042321972

systematic iteration: 98 | coverage level: 0.8666666666666667 | exploration_level: 0.8419240293743989

systematic iteration: 99 | coverage level: 0.8666666666666667 | exploration_level: 0.8410566832696521

systematic iteration: 100 | coverage level: 0.8666666666666667 | exploration_level: 0.8393634724454138
----- Starting simulation [local-constant] : 0 @ 2025-02-03 01:53:21.163275-----
Start coverage level: 0.6
Start exploration level: 0.764

local iteration: 1 | coverage level: 0.6 | exploration_level: 0.7695264000000676

local iteration: 2 | coverage level: 0.6 | exploration_level: 0.7763052643999592

local iteration: 3 | coverage level: 0.6333333333333333 | exploration_level: 0.7821552716949476

local iteration: 4 | coverage level: 0.6666666666666666 | exploration_level: 0.7879854470246062

local iteration: 5 | coverage level: 0.6666666666666666 | exploration_level: 0.7935305259858408

local iteration: 6 | coverage level: 0.7333333333333333 | exploration_level: 0.7998363786827466

local iteration: 7 | coverage level: 0.7 | exploration_level: 0.8052016133109605

local iteration: 8 | coverage level: 0.7 | exploration_level: 0.8128459884593754

local iteration: 9 | coverage level: 0.7 | exploration_level: 0.8184571039166252

local iteration: 10 | coverage level: 0.7 | exploration_level: 0.822962305453318

local iteration: 11 | coverage level: 0.7 | exploration_level: 0.8276351899992985

local iteration: 12 | coverage level: 0.7 | exploration_level: 0.8323830565521706

local iteration: 13 | coverage level: 0.7333333333333333 | exploration_level: 0.8355795071163531

local iteration: 14 | coverage level: 0.7666666666666667 | exploration_level: 0.8400310502928583

local iteration: 15 | coverage level: 0.7666666666666667 | exploration_level: 0.8414463750553974

local iteration: 16 | coverage level: 0.7666666666666667 | exploration_level: 0.8442334773891874

local iteration: 17 | coverage level: 0.7666666666666667 | exploration_level: 0.8467713391796946

local iteration: 18 | coverage level: 0.7666666666666667 | exploration_level: 0.848684012050277

local iteration: 19 | coverage level: 0.7666666666666667 | exploration_level: 0.8492076238221724

local iteration: 20 | coverage level: 0.7666666666666667 | exploration_level: 0.8508168525636757

local iteration: 21 | coverage level: 0.7666666666666667 | exploration_level: 0.8526092514267876

local iteration: 22 | coverage level: 0.7666666666666667 | exploration_level: 0.8526697273343163

local iteration: 23 | coverage level: 0.7666666666666667 | exploration_level: 0.8536320926918674

local iteration: 24 | coverage level: 0.7666666666666667 | exploration_level: 0.8530942628741485

local iteration: 25 | coverage level: 0.7666666666666667 | exploration_level: 0.8524003016241238

local iteration: 26 | coverage level: 0.7666666666666667 | exploration_level: 0.853067243034189

local iteration: 27 | coverage level: 0.7666666666666667 | exploration_level: 0.8543973138394191

local iteration: 28 | coverage level: 0.7666666666666667 | exploration_level: 0.8531302747889115

local iteration: 29 | coverage level: 0.7666666666666667 | exploration_level: 0.853150039238186

local iteration: 30 | coverage level: 0.7666666666666667 | exploration_level: 0.8534151763298159

local iteration: 31 | coverage level: 0.7666666666666667 | exploration_level: 0.8526985674236855

local iteration: 32 | coverage level: 0.7666666666666667 | exploration_level: 0.8523127069056856

local iteration: 33 | coverage level: 0.7666666666666667 | exploration_level: 0.8529943553822688

local iteration: 34 | coverage level: 0.7666666666666667 | exploration_level: 0.8537715344810025

